"","Region","Country"
"286","Corton","France                                                                                                                                                "
"287","Corton Bressandes","France                                                                                                                                                "
"288","Corton Charlemagne","France                                                                                                                                                "
"289","Corton Greves","France                                                                                                                                                "
"290","Corton Les Renardes","France                                                                                                                                                "
"291","Corton Perrieres","France                                                                                                                                                "
"292","Corton Pougets","France                                                                                                                                                "
"293","Corton Rognet","France                                                                                                                                                "
"294","Corton Vergennes","France                                                                                                                                                "
"295","Cortona","Italy                                                                                                                                                 "
"296","Costa d'Amalfi","Italy                                                                                                                                                 "
"297","Costa Toscana","Italy                                                                                                                                                 "
"298","Coste della Sesia","Italy                                                                                                                                                 "
"299","Costers del Segre","Spain                                                                                                                                                 "
"300","Costieres de Nimes","France                                                                                                                                                "
"301","Cote Chalonnaise","France                                                                                                                                                "
"302","Cote de Beaune","France                                                                                                                                                "
"303","Cote de Beaune Villages","France                                                                                                                                                "
"304","Cote de Brouilly","France                                                                                                                                                "
"305","Cote de Nuits Villages","France                                                                                                                                                "
"306","Cote Roannaise","France                                                                                                                                                "
"307","Cote Rotie","France                                                                                                                                                "
"308","Coteaux Bourguignons","France                                                                                                                                                "
"309","Coteaux d'Aix en Provence","France                                                                                                                                                "
"310","Coteaux d'Ancenis","France                                                                                                                                                "
"311","Coteaux de Verdon","France                                                                                                                                                "
"312","Coteaux du Giennois","France                                                                                                                                                "
"313","Coteaux du Languedoc","France                                                                                                                                                "
"314","Coteaux du Languedoc Pezenas","France                                                                                                                                                "
"315","Coteaux du Languedoc Pic Saint Loup","France                                                                                                                                                "
"316","Coteaux du Layon","France                                                                                                                                                "
"317","Coteaux du Layon Beaulieu","France                                                                                                                                                "
"318","Coteaux du Layon Chaume","France                                                                                                                                                "
"319","Coteaux du Layon Saint Aubin","France                                                                                                                                                "
"320","Coteaux du Lyonnais","France                                                                                                                                                "
"321","Coteaux du Vendomois","France                                                                                                                                                "
"322","Coteaux Varois","France                                                                                                                                                "
"323","Coteaux Varois en Provence","France                                                                                                                                                "
"324","Cotes Catalanes","France                                                                                                                                                "
"325","Cotes de Bergerac","France                                                                                                                                                "
"326","Cotes de Bordeaux","France                                                                                                                                                "
"327","Cotes de Bourg","France                                                                                                                                                "
"328","Cotes de Castillon","France                                                                                                                                                "
"329","Cotes de Duras","France                                                                                                                                                "
"330","Cotes de Forez","France                                                                                                                                                "
"331","Cotes de Gascogne","France                                                                                                                                                "
"332","Cotes de Montravel","France                                                                                                                                                "
"333","Cotes de Nuits Villages","France                                                                                                                                                "
"334","Cotes de Provence","France                                                                                                                                                "
"335","Cotes de Provence La Londe","France                                                                                                                                                "
"336","Cotes de Provence Sainte Victoire","France                                                                                                                                                "
"337","Cotes de Saint Mont","France                                                                                                                                                "
"338","Cotes de Thau","France                                                                                                                                                "
"339","Cotes de Thongue","France                                                                                                                                                "
"340","Cotes du Frontonnais","France                                                                                                                                                "
"341","Cotes du Jura","France                                                                                                                                                "
"342","Cotes du Lot","France                                                                                                                                                "
"343","Cotes du Luberon","France                                                                                                                                                "
"344","Cotes du Marmandais","France                                                                                                                                                "
"345","Cotes du Rhone","France                                                                                                                                                "
"346","Cotes du Rhone Villages","France                                                                                                                                                "
"347","Cotes du Roussillon","France                                                                                                                                                "
"348","Cotes du Roussillon Les Aspres","France                                                                                                                                                "
"349","Cotes du Roussillon Villages","France                                                                                                                                                "
"350","Cotes du Roussillon Villages Caramany","France                                                                                                                                                "
"351","Cotes du Roussillon Villages Tautavel","France                                                                                                                                                "
"352","Cotes du Tarn","France                                                                                                                                                "
"353","Cotes du Ventoux","France                                                                                                                                                "
"354","Cour Cheverny","France                                                                                                                                                "
"355","Cremant d'Alsace","France                                                                                                                                                "
"356","Cremant de Bordeaux","France                                                                                                                                                "
"357","Cremant de Bourgogne","France                                                                                                                                                "
"358","Cremant de Jura","France                                                                                                                                                "
"359","Cremant de Limoux","France                                                                                                                                                "
"360","Cremant de Loire","France                                                                                                                                                "
"361","Criots Batard Montrachet","France                                                                                                                                                "
"362","Crozes Hermitage","France                                                                                                                                                "
"363","Cucamonga Valley","US                                                                                                                                                    "
"364","Currency Creek","Australia                                                                                                                                             "
"365","Currency Creek McLaren Vale","Australia                                                                                                                                             "
"366","Curtefranca","Italy                                                                                                                                                 "
"367","Custoza","Italy                                                                                                                                                 "
"368","Custoza Superiore","Italy                                                                                                                                                 "
"369","Del Veneto","Italy                                                                                                                                                 "
"370","Delia Nivolelli","Italy                                                                                                                                                 "
"371","Delle Venezie","Italy                                                                                                                                                 "
"372","Diamond Mountain District","US                                                                                                                                                    "
"373","Diano d'Alba","Italy                                                                                                                                                 "
"374","Dogliani","Italy                                                                                                                                                 "
"375","Dogliani Superiore","Italy                                                                                                                                                 "
"376","Dolcetto d'Acqui","Italy                                                                                                                                                 "
"377","Dolcetto d'Alba","Italy                                                                                                                                                 "
"378","Dolcetto d'Alba Superiore","Italy                                                                                                                                                 "
"379","Dolcetto d'Asti","Italy                                                                                                                                                 "
"380","Dolcetto di Diano d'Alba","Italy                                                                                                                                                 "
"381","Dolcetto di Dogliani","Italy                                                                                                                                                 "
"382","Dolcetto di Dogliani Superiore","Italy                                                                                                                                                 "
"383","Dolcetto di Monferrato","Italy                                                                                                                                                 "
"384","Dominio de Valdepusa","Spain                                                                                                                                                 "
"385","Donnici","Italy                                                                                                                                                 "
"386","Dry Creek Valley","US                                                                                                                                                    "
"387","Dundee Hills","US                                                                                                                                                    "
"388","Dunnigan Hills","US                                                                                                                                                    "
"389","Echezeaux","France                                                                                                                                                "
"390","Eden Valley","Australia                                                                                                                                             "
"391","Edna Valley","US                                                                                                                                                    "
"392","El Dorado","US                                                                                                                                                    "
"393","El Dorado County","US                                                                                                                                                    "
"394","El Pomar District","US                                                                                                                                                    "
"395","Elkton Oregon","US                                                                                                                                                    "
"396","Eloro","Italy                                                                                                                                                 "
"397","Emilia","Italy                                                                                                                                                 "
"398","Emilia Romagna","Italy                                                                                                                                                 "
"399","Emporada Costa Brava","Spain                                                                                                                                                 "
"400","Emporda","Spain                                                                                                                                                 "
"401","Entre Deux Mers","France                                                                                                                                                "
"402","Eola Amity Hills","US                                                                                                                                                    "
"403","Epomeo","Italy                                                                                                                                                 "
"404","Erbaluce di Caluso","Italy                                                                                                                                                 "
"405","Erice","Italy                                                                                                                                                 "
"406","Est Est Est di Montefiascone","Italy                                                                                                                                                 "
"407","Extremadura","Spain                                                                                                                                                 "
"408","Fair Play","US                                                                                                                                                    "
"409","Falanghina del Beneventano","Italy                                                                                                                                                 "
"410","Falanghina del Molise","Italy                                                                                                                                                 "
"411","Falanghina del Sannio","Italy                                                                                                                                                 "
"412","Falerio","Italy                                                                                                                                                 "
"413","Falerio dei Colli Ascolani","Italy                                                                                                                                                 "
"414","Falerno del Massico","Italy                                                                                                                                                 "
"415","Famatina Valley","Argentina                                                                                                                                             "
"416","Faugeres","France                                                                                                                                                "
"417","Fiano di Avellino","Italy                                                                                                                                                 "
"418","Fiddletown","US                                                                                                                                                    "
"419","Finca Elez","Spain                                                                                                                                                 "
"420","Finger Lakes","US                                                                                                                                                    "
"421","Fitou","France                                                                                                                                                "
"422","Fixin","France                                                                                                                                                "
"423","Fleurie","France                                                                                                                                                "
"424","Fleurieu Peninsula","Australia                                                                                                                                             "
"425","Forli","Italy                                                                                                                                                 "
"426","Fort Ross Seaview","US                                                                                                                                                    "
"427","Franciacorta","Italy                                                                                                                                                 "
"428","Francs Cotes de Bordeaux","France                                                                                                                                                "
"429","Frankland River","Australia                                                                                                                                             "
"430","Frascati","Italy                                                                                                                                                 "
"431","Frascati Superiore","Italy                                                                                                                                                 "
"432","Friuli","Italy                                                                                                                                                 "
"433","Friuli Aquileia","Italy                                                                                                                                                 "
"434","Friuli Colli Orientali","Italy                                                                                                                                                 "
"435","Friuli Grave","Italy                                                                                                                                                 "
"436","Friuli Isonzo","Italy                                                                                                                                                 "
"437","Friuli Venezia Giulia","Italy                                                                                                                                                 "
"438","Fronsac","France                                                                                                                                                "
"439","Fronton","France                                                                                                                                                "
"440","Gaillac","France                                                                                                                                                "
"441","Gaillac Doux","France                                                                                                                                                "
"442","Galatina","Italy                                                                                                                                                 "
"443","Galluccio","Italy                                                                                                                                                 "
"444","Gambellara Classico","Italy                                                                                                                                                 "
"445","Garda","Italy                                                                                                                                                 "
"446","Garda Classico","Italy                                                                                                                                                 "
"447","Gattinara","Italy                                                                                                                                                 "
"448","Gavi di Gavi","Italy                                                                                                                                                 "
"449","Geelong","Australia                                                                                                                                             "
"450","Geographe","Australia                                                                                                                                             "
"451","Getariako Txakolina","Spain                                                                                                                                                 "
"452","Gevrey Chambertin","France                                                                                                                                                "
"453","Ghemme","Italy                                                                                                                                                 "
"454","Gigondas","France                                                                                                                                                "
"455","Gioia del Colle","Italy                                                                                                                                                 "
"456","Gippsland","Australia                                                                                                                                             "
"457","Givry","France                                                                                                                                                "
"458","Goulburn Valley","Australia                                                                                                                                             "
"459","Grampians","Australia                                                                                                                                             "
"460","Grand River Valley","US                                                                                                                                                    "
"461","Grand Valley","US                                                                                                                                                    "
"462","Grands Echezeaux","France                                                                                                                                                "
"463","Grave del Friuli","Italy                                                                                                                                                 "
"464","Graves","France                                                                                                                                                "
"465","Great Southern","Australia                                                                                                                                             "
"466","Greco di Tufo","Italy                                                                                                                                                 "
"467","Green Valley","US                                                                                                                                                    "
"468","Guenoc Valley","US                                                                                                                                                    "
"469","Gundagai","Australia                                                                                                                                             "
"470","Gutturnio Classico Superiore","Italy                                                                                                                                                 "
"471","Gutturnio Colli Piacentini","Italy                                                                                                                                                 "
"472","Happy Canyon of Santa Barbara","US                                                                                                                                                    "
"473","Haut Medoc","France                                                                                                                                                "
"474","Hautes Cotes de Beaune","France                                                                                                                                                "
"475","Hautes Cotes de Nuits","France                                                                                                                                                "
"476","Heathcote","Australia                                                                                                                                             "
"477","Henty","Australia                                                                                                                                             "
"478","Hermitage","France                                                                                                                                                "
"479","High Valley","US                                                                                                                                                    "
"480","Hilltops","Australia                                                                                                                                             "
"481","Horse Heaven Hills","US                                                                                                                                                    "
"482","Howell Mountain","US                                                                                                                                                    "
"483","Hudson River Region","US                                                                                                                                                    "
"484","Humboldt County","US                                                                                                                                                    "
"485","Hunter Valley","Australia                                                                                                                                             "
"486","Ile de Beaute","France                                                                                                                                                "
"487","Irancy","France                                                                                                                                                "
"488","Irpinia","Italy                                                                                                                                                 "
"489","Irrouleguy","France                                                                                                                                                "
"490","Ischia","Italy                                                                                                                                                 "
"491","Isle St. George","US                                                                                                                                                    "
"492","Isola dei Nuraghi","Italy                                                                                                                                                 "
"493","Isonzo del Friuli","Italy                                                                                                                                                 "
"494","Jerez","Spain                                                                                                                                                 "
"495","Jujuy","Argentina                                                                                                                                             "
"496","Julienas","France                                                                                                                                                "
"497","Jumilla","Spain                                                                                                                                                 "
"498","Jurancon","France                                                                                                                                                "
"499","Jurancon Sec","France                                                                                                                                                "
"500","Kangaroo Island","Australia                                                                                                                                             "
"501","Kelsey Bench Lake County","US                                                                                                                                                    "
"502","King Valley","Australia                                                                                                                                             "
"503","Knights Valley","US                                                                                                                                                    "
"504","La Clape","France                                                                                                                                                "
"505","La Consulta","Argentina                                                                                                                                             "
"506","La Grande Rue","France                                                                                                                                                "
"507","La Mancha","Spain                                                                                                                                                 "
"508","La Rioja","Argentina                                                                                                                                             "
"509","La Romanee","France                                                                                                                                                "
"510","Lacryma Christi del Vesuvio","Italy                                                                                                                                                 "
"511","Ladoix","France                                                                                                                                                "
"512","Lago di Corbara","Italy                                                                                                                                                 "
"513","Lake Chelan","US                                                                                                                                                    "
"514","Lake County","US                                                                                                                                                    "
"515","Lake County Mendocino County","US                                                                                                                                                    "
"516","Lake County Sonoma County","US                                                                                                                                                    "
"517","Lake Erie","US                                                                                                                                                    "
"518","Lake Erie North Shore","Canada                                                                                                                                                "
"519","Lake Michigan Shore","US                                                                                                                                                    "
"520","Lake Sonoma Napa","US                                                                                                                                                    "
"521","Lalande de Pomerol","France                                                                                                                                                "
"522","Lambrusco dell'Emilia","Italy                                                                                                                                                 "
"523","Lambrusco di Modena","Italy                                                                                                                                                 "
"524","Lambrusco di Sorbara","Italy                                                                                                                                                 "
"525","Lambrusco Grasparossa di Castelvetro","Italy                                                                                                                                                 "
"526","Lambrusco Reggiano","Italy                                                                                                                                                 "
"527","Lambrusco Salamino di Santa Croce","Italy                                                                                                                                                 "
"528","Lamezia","Italy                                                                                                                                                 "
"529","Landes","France                                                                                                                                                "
"530","Langhe","Italy                                                                                                                                                 "
"531","Langhorne Creek","Australia                                                                                                                                             "
"532","Langhorne Creek Limestone Coast","Australia                                                                                                                                             "
"533","Languedoc","France                                                                                                                                                "
"534","Lanzarote","Spain                                                                                                                                                 "
"535","Latricieres Chambertin","France                                                                                                                                                "
"536","Laudun","France                                                                                                                                                "
"537","Lazio","Italy                                                                                                                                                 "
"538","Leelanau Peninsula","US                                                                                                                                                    "
