"","Producer","Country"
"4295","Chateau Plaisance","France                                                                                                                                                "
"4296","Chateau Plantier Rose","France                                                                                                                                                "
"4297","Chateau Platon","France                                                                                                                                                "
"4298","Chateau Plince","France                                                                                                                                                "
"4299","Chateau Poitevin","France                                                                                                                                                "
"4300","Chateau Pomeys","France                                                                                                                                                "
"4301","Chateau Pontac Lynch","France                                                                                                                                                "
"4302","Chateau Pontac Monplaisir","France                                                                                                                                                "
"4303","Chateau Pontet Canet","France                                                                                                                                                "
"4304","Chateau Pontoise Cabarrus","France                                                                                                                                                "
"4305","Chateau Ponzac","France                                                                                                                                                "
"4306","Chateau Potelle","US                                                                                                                                                    "
"4307","Chateau Potensac","France                                                                                                                                                "
"4308","Chateau Poujeaux","France                                                                                                                                                "
"4309","Chateau Preuillac","France                                                                                                                                                "
"4310","Chateau Prieure Borde Rouge","France                                                                                                                                                "
"4311","Chateau Prieure Lichine","France                                                                                                                                                "
"4312","Chateau Providence","France                                                                                                                                                "
"4313","Chateau Puisseguin la Rigodrie","France                                                                                                                                                "
"4314","Chateau Puy Blanquet","France                                                                                                                                                "
"4315","Chateau Puy Marceau","France                                                                                                                                                "
"4316","Chateau Puy Mouton","France                                                                                                                                                "
"4317","Chateau Puy Rigaud","France                                                                                                                                                "
"4318","Chateau Puy Servain","France                                                                                                                                                "
"4319","Chateau Puyanche","France                                                                                                                                                "
"4320","Chateau Puygueraud","France                                                                                                                                                "
"4321","Chateau Quattre","France                                                                                                                                                "
"4322","Chateau Queyssard","France                                                                                                                                                "
"4323","Chateau Quinault L'Enclos","France                                                                                                                                                "
"4324","Chateau Quinsac","France                                                                                                                                                "
"4325","Chateau Quintus","France                                                                                                                                                "
"4326","Chateau Rabaud Promis","France                                                                                                                                                "
"4327","Chateau Rahoul","France                                                                                                                                                "
"4328","Chateau Ramafort","France                                                                                                                                                "
"4329","Chateau Ramage la Batisse","France                                                                                                                                                "
"4330","Chateau Rasque","France                                                                                                                                                "
"4331","Chateau Rauzan Despagne","France                                                                                                                                                "
"4332","Chateau Rauzan Gassies","France                                                                                                                                                "
"4333","Chateau Rauzan Segla","France                                                                                                                                                "
"4334","Chateau Raymond Lafon","France                                                                                                                                                "
"4335","Chateau Real d'Or","France                                                                                                                                                "
"4336","Chateau Real Martin","France                                                                                                                                                "
"4337","Chateau Reaut","France                                                                                                                                                "
"4338","Chateau Recougne","France                                                                                                                                                "
"4339","Chateau Remandine","France                                                                                                                                                "
"4340","Chateau Renard","France                                                                                                                                                "
"4341","Chateau Renard Mondesir","France                                                                                                                                                "
"4342","Chateau Respide Medeville","France                                                                                                                                                "
"4343","Chateau Revelette","France                                                                                                                                                "
"4344","Chateau Reverdi","France                                                                                                                                                "
"4345","Chateau Reynella","Australia                                                                                                                                             "
"4346","Chateau Reynon","France                                                                                                                                                "
"4347","Chateau Reysson","France                                                                                                                                                "
"4348","Chateau Ribaute","France                                                                                                                                                "
"4349","Chateau Ricaud","France                                                                                                                                                "
"4350","Chateau Rieussec","France                                                                                                                                                "
"4351","Chateau Rimauresq","France                                                                                                                                                "
"4352","Chateau Riotor","France                                                                                                                                                "
"4353","Chateau Rivensan","France                                                                                                                                                "
"4354","Chateau Rives Blanques","France                                                                                                                                                "
"4355","Chateau Robin","France                                                                                                                                                "
"4356","Chateau Robin des Moines","France                                                                                                                                                "
"4357","Chateau Roc de Boissac","France                                                                                                                                                "
"4358","Chateau Roc de Levraut","France                                                                                                                                                "
"4359","Chateau Roc de Minvielle","France                                                                                                                                                "
"4360","Chateau Roc de Segur","France                                                                                                                                                "
"4361","Chateau Roc Meynard","France                                                                                                                                                "
"4362","Chateau Roc Montalon","France                                                                                                                                                "
"4363","Chateau Roc Taillade","France                                                                                                                                                "
"4364","Chateau Roche Lalande","France                                                                                                                                                "
"4365","Chateau Rochebelle","France                                                                                                                                                "
"4366","Chateau Rocher Bellevue","France                                                                                                                                                "
"4367","Chateau Rocher Bonregard","France                                                                                                                                                "
"4368","Chateau Rocher Calon","France                                                                                                                                                "
"4369","Chateau Rodin","US                                                                                                                                                    "
"4370","Chateau Rol Valentin","France                                                                                                                                                "
"4371","Chateau Roland La Garde","France                                                                                                                                                "
"4372","Chateau Rollan de By","France                                                                                                                                                "
"4373","Chateau Rolland Maillet","France                                                                                                                                                "
"4374","Chateau Rollat","US                                                                                                                                                    "
"4375","Chateau Romanin","France                                                                                                                                                "
"4376","Chateau Romer","France                                                                                                                                                "
"4377","Chateau Romer du Hayot","France                                                                                                                                                "
"4378","Chateau Roque le Mayne","France                                                                                                                                                "
"4379","Chateau Roquefeuille","France                                                                                                                                                "
"4380","Chateau Roquefort","France                                                                                                                                                "
"4381","Chateau Roques Mauriac","France                                                                                                                                                "
"4382","Chateau Roquetaillade la Grange","France                                                                                                                                                "
"4383","Chateau Roquevieille","France                                                                                                                                                "
"4384","Chateau Roubine","France                                                                                                                                                "
"4385","Chateau Rouget","France                                                                                                                                                "
"4386","Chateau Roullet","France                                                                                                                                                "
"4387","Chateau Rousset Caillau","France                                                                                                                                                "
"4388","Chateau Roustaing","France                                                                                                                                                "
"4389","Chateau Roustan","France                                                                                                                                                "
"4390","Chateau Routas","France                                                                                                                                                "
"4391","Chateau Rouzerol","France                                                                                                                                                "
"4392","Chateau Roylland","France                                                                                                                                                "
"4393","Chateau Saincrit","France                                                                                                                                                "
"4394","Chateau Saint Ahon","France                                                                                                                                                "
"4395","Chateau Saint Andre Corbin","France                                                                                                                                                "
"4396","Chateau Saint Andre de Figuiere","France                                                                                                                                                "
"4397","Chateau Saint Baillon","France                                                                                                                                                "
"4398","Chateau Saint Baulery","France                                                                                                                                                "
"4399","Chateau Saint Corbian","France                                                                                                                                                "
"4400","Chateau Saint Didier Parnac","France                                                                                                                                                "
"4401","Chateau Saint Estephe","France                                                                                                                                                "
"4402","Chateau Saint Esteve d'Uchaux","France                                                                                                                                                "
"4403","Chateau Saint Florian","France                                                                                                                                                "
"4404","Chateau Saint Florin","France                                                                                                                                                "
"4405","Chateau Saint Germain","France                                                                                                                                                "
"4406","Chateau Saint Louis","France                                                                                                                                                "
"4407","Chateau Saint Martin de la Garrigue","France                                                                                                                                                "
"4408","Chateau Saint Maur","France                                                                                                                                                "
"4409","Chateau Saint Michel","France                                                                                                                                                "
"4410","Chateau Saint Nabor","France                                                                                                                                                "
"4411","Chateau Saint Nicolas","France                                                                                                                                                "
"4412","Chateau Saint Paul","France                                                                                                                                                "
"4413","Chateau Saint Pierre","France                                                                                                                                                "
"4414","Chateau Saint Sernin","France                                                                                                                                                "
"4415","Chateau Saint Seurin","France                                                                                                                                                "
"4416","Chateau Saint Sulpice","France                                                                                                                                                "
"4417","Chateau Saint Urbain","France                                                                                                                                                "
"4418","Chateau Saint Urban","France                                                                                                                                                "
"4419","Chateau Sainte Anne","France                                                                                                                                                "
"4420","Chateau Sainte Barbe","France                                                                                                                                                "
"4421","Chateau Sainte Beatrice","France                                                                                                                                                "
"4422","Chateau Sainte Luce Bellevue","France                                                                                                                                                "
"4423","Chateau Sainte Marguerite","France                                                                                                                                                "
"4424","Chateau Sainte Marie","France                                                                                                                                                "
"4425","Chateau Sainte Roseline","France                                                                                                                                                "
"4426","Chateau Saintongey","France                                                                                                                                                "
"4427","Chateau Salettes","France                                                                                                                                                "
"4428","Chateau Sansey","France                                                                                                                                                "
"4429","Chateau Sansonnet","France                                                                                                                                                "
"4430","Chateau Saransot Dupre","France                                                                                                                                                "
"4431","Chateau Segonzac","France                                                                                                                                                "
"4432","Chateau Seguin","France                                                                                                                                                "
"4433","Chateau Segur de Cabanac","France                                                                                                                                                "
"4434","Chateau Semeillan Mazeau","France                                                                                                                                                "
"4435","Chateau Semonlon","France                                                                                                                                                "
"4436","Chateau Senejac","France                                                                                                                                                "
"4437","Chateau Senilhac","France                                                                                                                                                "
"4438","Chateau Sergant","France                                                                                                                                                "
"4439","Chateau Serilhan","France                                                                                                                                                "
"4440","Chateau Siaurac","France                                                                                                                                                "
"4441","Chateau Siffle Merle","France                                                                                                                                                "
"4442","Chateau Sigalas Rabaud","France                                                                                                                                                "
"4443","Chateau Signac","France                                                                                                                                                "
"4444","Chateau Simard","France                                                                                                                                                "
"4445","Chateau Simon","France                                                                                                                                                "
"4446","Chateau Siran","France                                                                                                                                                "
"4447","Chateau Smith Haut Lafitte","France                                                                                                                                                "
"4448","Chateau Sociando Mallet","France                                                                                                                                                "
"4449","Chateau Soudars","France                                                                                                                                                "
"4450","Chateau Soussac","France                                                                                                                                                "
"4451","Chateau Soutard","France                                                                                                                                                "
"4452","Chateau Souverain","US                                                                                                                                                    "
"4453","Chateau St. Croix","US                                                                                                                                                    "
"4454","Chateau St. Jean","US                                                                                                                                                    "
"4455","Chateau Ste. Michelle","US                                                                                                                                                    "
"4456","Chateau Ste. Michelle & Dr. Loosen","US                                                                                                                                                    "
"4457","Chateau Suau","France                                                                                                                                                "
"4458","Chateau Suduiraut","France                                                                                                                                                "
"4459","Chateau Taffard de Blaignan","France                                                                                                                                                "
"4460","Chateau Talbot","France                                                                                                                                                "
"4461","Chateau Tanesse","France                                                                                                                                                "
"4462","Chateau Tanunda","Australia                                                                                                                                             "
"4463","Chateau Tassin","France                                                                                                                                                "
"4464","Chateau Taussin","France                                                                                                                                                "
"4465","Chateau Tayet","France                                                                                                                                                "
"4466","Chateau Terrasson","France                                                                                                                                                "
"4467","Chateau Terre Blanque","France                                                                                                                                                "
"4468","Chateau Terres Douces","France                                                                                                                                                "
"4469","Chateau Tertre de Belves","France                                                                                                                                                "
"4470","Chateau Tertre de Viaud","France                                                                                                                                                "
"4471","Chateau Tessendey","France                                                                                                                                                "
"4472","Chateau Teyssier","France                                                                                                                                                "
"4473","Chateau Thenac","France                                                                                                                                                "
"4474","Chateau Thieuley","France                                                                                                                                                "
"4475","Chateau Thuerry","France                                                                                                                                                "
"4476","Chateau Thuron","France                                                                                                                                                "
"4477","Chateau Timberlay","France                                                                                                                                                "
"4478","Chateau Tire Pe","France                                                                                                                                                "
"4479","Chateau Torpez","France                                                                                                                                                "
"4480","Chateau Toudenac","France                                                                                                                                                "
"4481","Chateau Toumilon","France                                                                                                                                                "
"4482","Chateau Tour Baladoz","France                                                                                                                                                "
"4483","Chateau Tour Bayard","France                                                                                                                                                "
"4484","Chateau Tour Canon","France                                                                                                                                                "
"4485","Chateau Tour Chapoux","France                                                                                                                                                "
"4486","Chateau Tour Coutelin","France                                                                                                                                                "
"4487","Chateau Tour d'Auron","France                                                                                                                                                "
"4488","Chateau Tour d'Horable","France                                                                                                                                                "
"4489","Chateau Tour de Bessan","France                                                                                                                                                "
"4490","Chateau Tour de Bigorre","France                                                                                                                                                "
"4491","Chateau Tour de Bonnet","France                                                                                                                                                "
"4492","Chateau Tour de Cazelle","France                                                                                                                                                "
"4493","Chateau Tour de Gilet","France                                                                                                                                                "
"4494","Chateau Tour de Guiet","France                                                                                                                                                "
"4495","Chateau Tour de Lagarde","France                                                                                                                                                "
"4496","Chateau Tour de Luchey","France                                                                                                                                                "
"4497","Chateau Tour de Mirambeau","France                                                                                                                                                "
"4498","Chateau Tour de Pez","France                                                                                                                                                "
"4499","Chateau Tour des Gendres","France                                                                                                                                                "
"4500","Chateau Tour des Termes","France                                                                                                                                                "
"4501","Chateau Tour du Moulin","France                                                                                                                                                "
"4502","Chateau Tour du Pin","France                                                                                                                                                "
"4503","Chateau Tour Grand Faurie","France                                                                                                                                                "
"4504","Chateau Tour Grand Mayne","France                                                                                                                                                "
"4505","Chateau Tour Haut Caussan","France                                                                                                                                                "
"4506","Chateau Tour le Pin","France                                                                                                                                                "
"4507","Chateau Tour Prignac","France                                                                                                                                                "
"4508","Chateau Tour Rozier","France                                                                                                                                                "
"4509","Chateau Tour Saint Fort","France                                                                                                                                                "
"4510","Chateau Tour Saint Germain","France                                                                                                                                                "
"4511","Chateau Tour Saint Joseph","France                                                                                                                                                "
"4512","Chateau Tour Saint Vincent","France                                                                                                                                                "
"4513","Chateau Tour Seran","France                                                                                                                                                "
"4514","Chateau Tour St Bonnet","France                                                                                                                                                "
"4515","Chateau Tourans","France                                                                                                                                                "
"4516","Chateau Tournefeuille","France                                                                                                                                                "
"4517","Chateau Tournelles","France                                                                                                                                                "
"4518","Chateau Tourril","France                                                                                                                                                "
"4519","Chateau Tourteran","France                                                                                                                                                "
"4520","Chateau Toutigeac","France                                                                                                                                                "
"4521","Chateau Trians","France                                                                                                                                                "
"4522","Chateau Trimoulet","France                                                                                                                                                "
"4523","Chateau Trocard","France                                                                                                                                                "
"4524","Chateau Trocard Monrepos","France                                                                                                                                                "
"4525","Chateau Trois Moulins","France                                                                                                                                                "
"4526","Chateau Trolliet Lafite","France                                                                                                                                                "
"4527","Chateau Tronquoy Lalande","France                                                                                                                                                "
"4528","Chateau Troplong Mondot","France                                                                                                                                                "
"4529","Chateau Trotanoy","France                                                                                                                                                "
"4530","Chateau Trottevieille","France                                                                                                                                                "
"4531","Chateau Troupian","France                                                                                                                                                "
"4532","Chateau Truquet","France                                                                                                                                                "
"4533","Chateau Tuilerie Pages","France                                                                                                                                                "
"4534","Chateau Turcaud","France                                                                                                                                                "
"4535","Chateau Val d'Arenc","France                                                                                                                                                "
"4536","Chateau Val Joanis","France                                                                                                                                                "
"4537","Chateau Valade","France                                                                                                                                                "
"4538","Chateau Valandraud","France                                                                                                                                                "
"4539","Chateau Valcolombe","France                                                                                                                                                "
"4540","Chateau Valcombe","France                                                                                                                                                "
