"text","text_raw","name","keywords","upper_text","lower_text","brackets_text","id","year","color","province","region","producer","designation","variety","country","id_conf","year_conf","color_conf","province_sim","region_sim","producer_sim","designation_sim","variety_sim","brackets_conf","upper_text_hit","lower_text_hit","brackets_text_hit","inspect","dictionary_hit","any_hit","table","file","file_id","file_number","name_id","l","b","r","t","name_center_x_orig","name_center_y_orig"
"CHATEAU CHAUVIN 4","M-5 CHATEAU CHAUVIN (St. Emilion) 4","CHATEAU CHAUVIN (St. Emilion) 4","character(0)","CHATEAU CHAUVIN","NULL","Saint Emilion","M-5","NULL","NULL","NULL","list(region = ""Saint Emilion"")","list(producer = ""Chateau Chauvin"")","NULL","NULL","France","89.3805389404297","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_4",1986.33333333333,3294,3420,3357,2710.60649850569,3308.92072671253
"CHATEAU GREYSAC","M-9 CHATEAU GREYSAC (Medoc) ..........38.79","CHATEAU GREYSAC (Medoc)","character(0)","CHATEAU GREYSAC","NULL","Medoc","M-9","NULL","NULL","NULL","list(region = ""Medoc"")","list(producer = ""Chateau Greysac"")","NULL","NULL","France","92.4523239135742","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_5",1986.33333333333,3401,3420,3465,2713.12745003425,3416.39116359352
"CHATEAU CAMENSAC","M-74 CHATEAU CAMENSAC (St. Laurent) ....41.72 4","CHATEAU CAMENSAC (St. Laurent)","character(0)","CHATEAU CAMENSAC","NULL","Saint Laurent","M-74","NULL","NULL","NULL","NULL","list(producer = ""Chateau Camensac"")","list(designation = ""Sankt Laurent"")","NULL","France","86.9200210571289","NULL","NULL","NULL","NULL","1","0.846153846153846","NULL","NULL","producer","NULL","designation","designation (decent brackets_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_6",1986.33333333333,3727,3420,3791,2720.77238211155,3742.30151171633
"CHATEAU Saint Emilion) MAGNAN","173 CHATEAU St. Emilion) MAGNAN .. LA GAFFELIERE 4803 4803","CHATEAU St. Emilion) MAGNAN","character(0)","CHATEAU","Saint Emilion) MAGNAN","NULL","173","NULL","NULL","NULL","Saint Emilion","NULL","list(designation = ""Chateau"")","NULL","France","96.1026763916016","NULL","NULL","NULL","0.619047619047619","NULL","1","NULL","NULL","designation","region","NULL","region (submatch lower_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_7",1986.33333333333,4067,3420,4170,2729.20291303729,4101.70264714624
"CHATEAU FOURCAS HOSTEIN BASLTAC) © soa sie esis sale nates 48 60 5","M-77 CHATEAU FOURCAS-HOSTEIN BASLTAC) ©. soa sie esis sale nates 48.60 5","CHATEAU FOURCAS-HOSTEIN BASLTAC) ©. soa sie esis sale nates 48.60 5","character(0)","CHATEAU FOURCAS HOSTEIN BASLTAC",") © soa sie esis sale nates 48 60 5","NULL","M-77","NULL","NULL","NULL","NULL","NULL","Chateau","NULL","NULL","88.1207427978516","NULL","NULL","NULL","NULL","NULL","0.225806451612903","NULL","NULL","designation","NULL","NULL","designation (submatch upper_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_8",1986.33333333333,4228,3420,4331,2732.97847765216,4262.65837121917
"CHATEAU SIMARD ee ise ee 5","M-44 CHATEAU SIMARD (St. Emilion) . ee ise ee 5","CHATEAU SIMARD (St. Emilion) . ee ise ee 5","character(0)","CHATEAU SIMARD","ee ise ee 5","Saint Emilion","M-44","NULL","NULL","NULL","list(region = ""Saint Emilion"")","list(producer = ""Chateau Simard"")","NULL","NULL","France","90.4708633422852","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_9",1986.33333333333,4481,3420,4545,2738.45421887931,4496.09415737462
"CHATEAU DE PEZ","M-6 CHATEAU DE PEZ (St. Estephe)","CHATEAU DE PEZ (St. Estephe)","character(0)","CHATEAU DE PEZ","NULL","Saint Estephe","M-6","NULL","NULL","NULL","list(region = ""Saint Estephe"")","list(producer = ""Chateau de Pez"")","NULL","NULL","France","92.9156036376953","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_10",1986.33333333333,4641,3420,4705,2742.20633278228,4656.0501564533
"CHATEAU BOUSCAUT","M-24 CHATEAU BOUSCAUT (Graves) ........ 54.00 6 Thoros ans T9 (van Tritt loco nr Yrirnvw aria sv. £3 vnorrDo. OTs","CHATEAU BOUSCAUT (Graves)","character(0)","CHATEAU BOUSCAUT","NULL","Graves","M-24","NULL","NULL","NULL","list(region = ""Graves"")","list(producer = ""Chateau Bouscaut"")","NULL","NULL","France","90.056266784668","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_2_11",1986.33333333333,4799,3420,4895,2746.28675665176,4830.00230545136
"TA 1EAU LA FUN JNA (rronsacj","10U TA 1EAU LA FUN JNA. (rronsacj ..... d.ad 00.00 M-5 CHATEAU CHAUVIN (St. Emilion) HiT = aoa 7 WoL 2 ""VY mie iy a TL a ha int nl COOL WV Nee aes Yes ak","TA 1EAU LA FUN JNA. (rronsacj","character(0)","NULL","1EAU LA FUN JNA (rronsacj","NULL","10U","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","60.5766677856445","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FALSE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_1",358.333333333333,3295,3209,3359,1791.39454236823,3331.98324379003
"CHATEAU GREYSAC",": M-9 CHATEAU GREYSAC (Medoc) ..........38.79","CHATEAU GREYSAC (Medoc)","character(0)","CHATEAU GREYSAC","NULL","Medoc","M-9","NULL","NULL","NULL","list(region = ""Medoc"")","list(producer = ""Chateau Greysac"")","NULL","NULL","France","92.4523239135742","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_2",358.333333333333,3403,3209,3467,1793.92721925274,3439.95354316814
") srtsenraswisaiinan sina BAY 007 70 M 74 CHATEAU CAMENSAC","M0) srtsenraswisaiinan sina BAY 007,70 M-74 CHATEAU CAMENSAC (St. Laurent) ....4",") srtsenraswisaiinan sina BAY 007,70 M-74 CHATEAU CAMENSAC (St. Laurent)","character(0)","NULL",") srtsenraswisaiinan sina 007 70 M 74 CHATEAU CAMENSAC","Saint Laurent","M0","NULL","NULL","NULL","NULL","list(producer = ""Saint Laurent"")","Chateau","NULL","US","40.0841903686523","NULL","NULL","NULL","NULL","1","0.12962962962963","NULL","NULL","NULL","designation","producer","designation (submatch lower_text); ","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_3",358.333333333333,3728,3209,3791,1801.5369752622,3764.36430379959
"CHATEAU Saint Emilion) MAGNAN","173 CHATEAU St. Emilion) MAGNAN .. LA GAFFELIERE","CHATEAU St. Emilion) MAGNAN","character(0)","CHATEAU","Saint Emilion) MAGNAN","NULL","173","NULL","NULL","NULL","Saint Emilion","NULL","list(designation = ""Chateau"")","NULL","France","96.1026763916016","NULL","NULL","NULL","0.619047619047619","NULL","1","NULL","NULL","designation","region","NULL","region (submatch lower_text); ","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_4",358.333333333333,4067,3209,4171,1809.96750618794,4123.7654392295
"CHATEAU M 77 1 CHATEAU Giiriat QLASEPRGE FOURCAS FOURCAS HOSTEIN ii","1970 CHATEAU BOTTLED M-77 1 CHATEAU Giiriat QLASEPRGE: FOURCAS FOURCAS-HOSTEIN ii. . . . Blvie HOSTE","CHATEAU BOTTLED M-77 1 CHATEAU Giiriat QLASEPRGE FOURCAS FOURCAS-HOSTEIN ii","bottled","CHATEAU M","77 1 CHATEAU Giiriat QLASEPRGE FOURCAS FOURCAS HOSTEIN ii","NULL","1970","NULL","NULL","NULL","NULL","list(producer = ""Chateau K"")","Chateau","NULL","France","95.2710800170898","NULL","NULL","NULL","NULL","0.888888888888889","0.12280701754386","NULL","NULL","producer","designation","NULL","producer (decent upper_text); designation (submatch lower_text); ","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_5",358.333333333333,4172,3209,4332,1813.08645086979,4256.72886346366
"CHATEAU SIMARD","M-44 CHATEAU SIMARD (St. Emilion). .......51.75","CHATEAU SIMARD (St. Emilion)","character(0)","CHATEAU SIMARD","NULL","Saint Emilion","M-44","NULL","NULL","NULL","list(region = ""Saint Emilion"")","list(producer = ""Chateau Simard"")","NULL","NULL","France","87.2991638183594","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_6",358.333333333333,4482,3209,4546,1819.2305373859,4518.656811955
"ing all of our time at the vineyards and in the company of the the better restaurants or France and the New York ~ FIT Y A raIyy A YY THRYY YRWIFW £8%2 2 2WY","ing all of our time at the vineyards and in the company of the the better restaurants or France and the New York ~ FIT Y A raIyy A YY THRYY YRWIFW £8%2 2 2WY _","ing all of our time at the vineyards and in the company of the the better restaurants or France and the New York ~ FIT Y A raIyy A YY THRYY YRWIFW £8%2 2 2WY _","character(0)","FIT Y A","ing all of our time at the vineyards and in the company of the the better restaurants or France and the New York ~ raIyy A YY THRYY YRWIFW £8%2 2 2WY","NULL","NULL","NULL","NULL","New York","NULL","Resta","The Vineyards","NULL","NULL","NULL","NULL","NULL","0.0469798657718121","NULL","0.0268456375838926","0.0805369127516778","NULL","NULL","NULL","designation","NULL","province (submatch lower_text); producer (submatch lower_text); designation (submatch lower_text); multiple countries (US / Italy);","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_7",358.333333333333,4605,3209,4666,1822.07979888097,4640.12339875537
"bh pied 0 mT dur onan 88 oroleccinguns diet 7 alfa a Fl a EE on I Te A eT ree TC eee Ter est possible price achieveable F OB ona wholesale basis","bh pied 0 mT dur onan 88 oroleccinguns diet 7 alfa a Fl a EE on I Te A eT ree TC eee Ter est possible price achieveable F.OB.ona wholesale basis (cal- M-24 CHATEAU BOUSCAUT (Graves) ........ 5 Lau Uh aD af 7 SNE a Ta Cg PT wey Thora avs 10 fl vwoavrnd fr riot ind vrivnnyroa nro dw. fy","bh pied 0 mT dur onan 88 oroleccinguns diet 7 alfa a Fl a EE on I Te A eT ree TC eee Ter est possible price achieveable F.OB.ona wholesale basis (cal- M-24 CHATEAU BOUSCAUT (Graves)","character(0)","NULL","bh pied 0 mT dur onan 88 oroleccinguns diet 7 alfa a Fl a on I Te A eT ree TC eee Ter est possible price achieveable F OB ona wholesale basis","cal M 24 CHATEAU BOUSCAUT (Graves","NULL","NULL","NULL","NULL","Graves","Chateau Bouscaut","Chateau","NULL","France","NULL","NULL","NULL","NULL","0.181818181818182","0.484848484848485","0.212121212121212","NULL","NULL","NULL","NULL","designation","region (submatch brackets_text); producer (submatch brackets_text); designation (submatch brackets_text); ","TRUE","TRUE","3","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0644","UCD_Lehmann_0644","0644","0644_3_8",358.333333333333,4804,3209,4894,1827.08652587025,4853.56468502599
"PIESPORTER GOLDTROPFCHEN FEINE SPATLESE","707 PIESPORTER GOLDTROPFCHEN FEINE SPATLESE 1964............ .","PIESPORTER GOLDTROPFCHEN FEINE SPATLESE","character(0)","PIESPORTER GOLDTROPFCHEN FEINE SPATLESE","NULL","NULL","707","1964","NULL","NULL","NULL","NULL","list(designation = ""Piesporter Goldtropfchen GL Spatlese"")","NULL","NULL","76.2030029296875","32.6664810180664","NULL","NULL","NULL","NULL","0.871794871794872","NULL","NULL","designation","NULL","NULL","designation (decent upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_1_1",2079.5,1299,3160.5,1394,2640.24430369571,1354.23285924612
"PIESPORTER LAY FEINE AUSLESE","719 PIESPORTER LAY FEINE AUSLESE 1966... .........................","PIESPORTER LAY FEINE AUSLESE","character(0)","PIESPORTER LAY FEINE AUSLESE","NULL","NULL","719","1966","NULL","NULL","NULL","NULL","Auslese","NULL","NULL","86.7372741699219","20.9009704589844","NULL","NULL","NULL","NULL","0.25","NULL","NULL","designation","NULL","NULL","designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_1_2",2080.5,1472,3160.5,1565,2638.63356146148,1526.2260437316
"PIESPORTER GOLDTROPFCHEN LAY FEINE SPATAUSLESE","744  PIESPORTER GOLDTROPFCHEN LAY FEINE SPATAUSLESE 1966","PIESPORTER GOLDTROPFCHEN LAY FEINE SPATAUSLESE","character(0)","PIESPORTER GOLDTROPFCHEN LAY FEINE SPATAUSLESE","NULL","NULL","744","1966","NULL","NULL","NULL","NULL","Piesporter Goldtropfchen","NULL","NULL","74.6339569091797","95.7692413330078","NULL","NULL","NULL","NULL","0.521739130434783","NULL","NULL","designation","NULL","NULL","designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_1_3",2079.5,1695,3160.5,1787,2635.40318184199,1748.70315412166
"PIESPORTER GOLDTROPFCHEN FEINSTE AUSLESE","613 PIESPORTER GOLDTROPFCHEN FEINSTE AUSLESE 1959...........","PIESPORTER GOLDTROPFCHEN FEINSTE AUSLESE","character(0)","PIESPORTER GOLDTROPFCHEN FEINSTE AUSLESE","NULL","NULL","613","1959","NULL","NULL","NULL","NULL","list(designation = ""Piesporter Goldtropfchen Beerenauslese"")","NULL","NULL","86.0826873779297","65.6819458007812","NULL","NULL","NULL","NULL","0.85","NULL","NULL","designation","NULL","NULL","designation (decent upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_1_4",2079.5,1919,3160.5,2010,2632.66049303513,1972.18632498271
"PIESPORTER GOLDTROPFCHEN FEINSTE SPATAUSLESE 1","706 PIESPORTER GOLDTROPFCHEN FEINSTE SPATAUSLESE 1959. 1","PIESPORTER GOLDTROPFCHEN FEINSTE SPATAUSLESE . 1","character(0)","PIESPORTER GOLDTROPFCHEN FEINSTE SPATAUSLESE","NULL","NULL","706","1959","NULL","NULL","NULL","NULL","Piesporter Goldtropfchen","NULL","NULL","86.4072494506836","22.3608322143555","NULL","NULL","NULL","NULL","0.545454545454545","NULL","NULL","designation","NULL","NULL","designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_1_5",2080.5,2142,3160.5,2233,2630.42390234834,2195.17566926198
"633 630 LIEBFRAUMILCH The most popular of Rhine wines MOSELBLUMCHEN The Moselle’s counterpart to the MAY WINE Rhine wine flavored with the ar Serve well chilled in a bowl wit] Mix any twelve above for only—§","624 633 630 LIEBFRAUMILCH 1970 The most popular of Rhine wines MOSELBLUMCHEN 1970 The Moselle’s counterpart to the MAY WINE Rhine wine flavored with the ar Serve well chilled, in a bowl, wit] Mix any twelve above for only—§","633 630 LIEBFRAUMILCH The most popular of Rhine wines MOSELBLUMCHEN The Moselle’s counterpart to the MAY WINE Rhine wine flavored with the ar Serve well chilled, in a bowl, wit] Mix any twelve above for only—§","character(0)","LIEBFRAUMILCH","633 630 The most popular of Rhine wines MOSELBLUMCHEN The Moselle’s counterpart to the MAY WINE Rhine wine flavored with the ar Serve well chilled in a bowl wit] Mix any twelve above for only—§","NULL","624","1970","red","Mosel","NULL","SERVE","Serve","NULL","NULL","96.2429275512695","c(95.9401245117188, 96.0907897949219)","96.1800155639648","0","NULL","0","0","NULL","NULL","NULL","designation","NULL","province (submatch lower_text); producer (submatch lower_text); designation (submatch lower_text); multiple countries (Germany / Romania);","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_1",491.5,2590,1380.5,3020,938.473067208866,2791.95776640536
"BERNCASTELER RIESLING","651 BERNCASTELER RIESLING 1970","BERNCASTELER RIESLING","character(0)","BERNCASTELER RIESLING","NULL","NULL","651","1970","NULL","NULL","NULL","NULL","Astel","Riesling","NULL","88.8096160888672","96.6569519042969","NULL","NULL","NULL","NULL","0.238095238095238","0.380952380952381","NULL","variety","NULL","NULL","designation (submatch upper_text); variety (submatch upper_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_2",494.5,3446,1380.5,3481,931.892146300478,3450.42658987387
"RUDESHEIMER In the Rudesheimers prove Mix any twelve above for only—§","675 RUDESHEIMER 1970 In 1970, the Rudesheimers prove Mix any twelve above for only—§","RUDESHEIMER In , the Rudesheimers prove Mix any twelve above for only—§","character(0)","RUDESHEIMER","In the Rudesheimers prove Mix any twelve above for only—§","NULL","675","1970","NULL","NULL","NULL","NULL","NULL","NULL","NULL","95.703857421875","c(96.4855728149414, 96.3122787475586)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FALSE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_3",494.5,3563,1380.5,3727,929.66486210162,3631.91292325767
"JOHANNISBERGER RIESLIN","686 JOHANNISBERGER RIESLIN","JOHANNISBERGER RIESLIN","character(0)","JOHANNISBERGER RIESLIN","NULL","NULL","686","NULL","NULL","NULL","NULL","NULL","NULL","list(variety = ""Johannisberg Riesling"")","NULL","88.5836715698242","NULL","NULL","NULL","NULL","NULL","NULL","0.863636363636364","NULL","variety","NULL","NULL","variety (decent upper_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_4",495.5,4036,1380.5,4077,925.115086447965,4043.38807383362
"PIESPORTER RIESLING","687 PIESPORTER RIESLING 1970","PIESPORTER RIESLING","character(0)","PIESPORTER RIESLING","NULL","NULL","687","1970","NULL","NULL","NULL","NULL","NULL","Riesling","NULL","78.3359375","96.2328338623047","NULL","NULL","NULL","NULL","NULL","0.421052631578947","NULL","variety","NULL","NULL","variety (submatch upper_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_5",495.5,4153,1380.5,4191,923.697723775965,4158.87937689604
"CROEVER NACKTARSCH","691 CROEVER NACKTARSCH 1970","CROEVER NACKTARSCH","character(0)","CROEVER NACKTARSCH","NULL","NULL","691","1970","NULL","NULL","NULL","NULL","NULL","NULL","NULL","96.4366760253906","96.9367065429688","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FALSE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_6",494.5,4271,1380.5,4308,921.755855676473,4276.364393593
"ZELLER SCHWARZE KATZ","702 ZELLER SCHWARZE KATZ 1970.","ZELLER SCHWARZE KATZ .","character(0)","ZELLER SCHWARZE KATZ","NULL","NULL","702","1970","NULL","NULL","NULL","NULL","NULL","NULL","NULL","88.1475677490234","80.8018569946289","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FALSE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_7",497.5,4387,1380.5,4425,921.826108518945,4392.87402866469
"Mix any twelve above for only—§","Mix any twelve above for only—§","Mix any twelve above for only—§","character(0)","NULL","Mix any twelve above for only—§","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FALSE","FALSE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0800","UCD_Lehmann_0800","0800","0800_2_8",494.5,4496,1380.5,4546,918.914994563329,4507.84696206876
"BEAUJOLAIS BROUILLY fenCarafe)","387 BEAUJOLAIS BROUILLY 1967 fenCarafe):..........x2..... i ah","BEAUJOLAIS BROUILLY fenCarafe)","character(0)","BEAUJOLAIS BROUILLY","fenCarafe)","NULL","387","1967","NULL","Beaujolais","Brouilly","NULL","NULL","NULL","France","92.6695327758789","96.3109512329102","NULL","0.526315789473684","0.421052631578947","NULL","NULL","NULL","NULL","region","NULL","NULL","province (submatch upper_text); region (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_1",390.5,2407,1598.5,2531,1006.47377780531,2446.92053390896
"BEAUJOLAIS CHENAS","789 BEAUJOLAIS CHENAS 1966 .......","BEAUJOLAIS CHENAS","character(0)","BEAUJOLAIS CHENAS","NULL","NULL","789","1966","NULL","Beaujolais","Chenas","NULL","NULL","NULL","France","93.2661285400391","93.1124954223633","NULL","0.588235294117647","0.352941176470588","NULL","NULL","NULL","NULL","region","NULL","NULL","province (submatch upper_text); region (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_2",392.5,2799,1598.5,2851,999.610374227514,2802.85577196685
"CHASSAGNE MONTRACHET ROUGE","211 CHASSAGNE-MONTRACHET ROUGE 1966 ........-..... ..:uv..5","CHASSAGNE-MONTRACHET ROUGE","character(0)","CHASSAGNE MONTRACHET ROUGE","NULL","NULL","211","1966","red","NULL","Chassagne Montrachet","NULL","Rouge","NULL","France","93.2872619628906","45.6463241577148","45.6463241577148","NULL","0.769230769230769","NULL","0.192307692307692","NULL","NULL","designation","NULL","NULL","region (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_3",394.5,3117,1598.5,3241,992.791145703754,3156.79149794311
"AUXEY DURESSES LE VAL","628 AUXEY-DURESSES, LE VAL, 1962.. 3","AUXEY-DURESSES, LE VAL,","character(0)","AUXEY DURESSES LE VAL","NULL","NULL","628","1962","NULL","NULL","Auxey Duresses","Le Val","NULL","NULL","France","93.2662353515625","91.9392318725586","NULL","NULL","0.666666666666667","0.285714285714286","NULL","NULL","NULL","producer","NULL","NULL","region (submatch upper_text); producer (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_4",395.5,3512,1598.5,3565,985.350557760984,3516.21483838035
"CHASSAGNE MONTRACHET BOURDRIOTTES","248 CHASSAGNE-MONTRACHET, BOURDRIOTTES, 1966 ............","CHASSAGNE-MONTRACHET, BOURDRIOTTES,","character(0)","CHASSAGNE MONTRACHET BOURDRIOTTES","NULL","NULL","248","1966","NULL","NULL","Chassagne Montrachet","NULL","NULL","NULL","France","93.274787902832","93.3011627197266","NULL","NULL","0.606060606060606","NULL","NULL","NULL","NULL","region","NULL","NULL","region (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_5",397.5,3780,1598.5,3901,979.67988064219,3818.16325023412
"FIXIN CLOS NAPOLEON","135 FIXIN, CLOS NAPOLEON, 1966 .... 3 Just north of the great Chambertin vinevard, and sii","FIXIN, CLOS NAPOLEON,","character(0)","FIXIN CLOS NAPOLEON","NULL","NULL","135","1966","NULL","NULL","Fixin","NULL","Napoleon","NULL","France","93.1923141479492","93.2802047729492","NULL","NULL","0.263157894736842","NULL","0.421052631578947","NULL","NULL","designation","NULL","NULL","region (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_6",398.5,4172,1598.5,4277,971.698148287465,4202.08061367138
"VOLNAY CHAMPANS","278 VOLNAY CHAMPANS 1962. .......","VOLNAY CHAMPANS","character(0)","VOLNAY CHAMPANS","NULL","NULL","278","1962","NULL","NULL","Volnay","NULL","Champans","NULL","France","93.2713088989258","44.6270179748535","NULL","NULL","0.4","NULL","0.533333333333333","NULL","NULL","designation","NULL","NULL","region (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0869","UCD_Lehmann_0869","0869","0869_1_7",402.5,4499,1598.5,4544,967.137664844581,4499.05233284809
